id,X,Y,KEY,NAME
186,303791.5394,2770391.636,6,忠孝新生站出口6
187,303797.6874,2770460.667,7,忠孝新生站出口7
188,297714.0198,2780388.067,0,忠義站出口
189,309810.5963,2771472.234,1,昆陽站出口1
190,309806.8645,2771499.608,2,昆陽站出口2
191,309897.1649,2771525.086,3,昆陽站出口3
192,309925.461,2771519.517,4,昆陽站出口4
193,302357.1072,2777980.841,0,明德站出口
194,303281.4758,2769689.482,1,東門站出口1
195,303232.9215,2769691.602,2,東門站出口2
196,303293.8103,2769575.268,3,東門站出口3
197,303359.2229,2769592.189,4,東門站出口4
198,303444.9065,2769581.678,5,東門站出口5
199,303500.7773,2769655.85,6,東門站出口6
200,303451.723,2769662.62,7,東門站出口7
201,303391.3356,2769687.097,8,東門站出口8
202,311615.9604,2773365.573,1,東湖站出口1
203,311670.78,2773351.294,2,東湖站出口2
204,311745.2915,2773338.244,3,東湖站出口3
205,305700.3935,2772936.868,1,松山機場站出口1
206,305590.7568,2772931.902,2,松山機場站出口2
207,305644.9755,2772861.005,3,松山機場站出口3
208,303758.5677,2771585.615,2,松江南京站出口2
209,303758.1098,2771551.084,3,松江南京站出口3
210,303802.6765,2771618.784,4,松江南京站出口4
211,303800.3455,2771697.43,7,松江南京站出口7
212,303763.1483,2771708.442,8,松江南京站出口8
213,296608.2434,2767355.901,1,板橋站出口1
214,296688.785,2767307.412,2,板橋站出口2
215,296688.785,2767468.461,3,板橋站出口3
216,296737.4128,2767435.448,3A,板橋站出口3A
217,302713.7487,2777184.734,1,芝山站出口1
218,302689.7802,2777344.859,2,芝山站出口2
219,305776.5464,2769615.42,1,信義安和站出口1
220,305720.1062,2769540.286,2,信義安和站出口2
221,305829.9395,2769540.849,3,信義安和站出口3
222,305867.5914,2769538.235,4,信義安和站出口4
223,305880.6608,2769600.928,5,信義安和站出口5
224,304947.7229,2771699.47,0,南京東路站出口
225,312258.5812,2772124.412,1,南港展覽館站出口1
226,312267.5521,2772065.015,2,南港展覽館站出口2
227,312266.5025,2772047.793,2A,南港展覽館站出口2A
228,312376.2164,2772021.704,3,南港展覽館站出口3
229,312383.2991,2772066.275,4,南港展覽館站出口4
230,312231.9559,2772012.042,5,南港展覽館站出口5
231,312374.2454,2771992.426,6,南港展覽館站出口6
232,312384.3242,2771933.654,7,南港展覽館站出口7
233,311210.8105,2771648.006,1,南港站出口1
234,311304.0106,2771664.587,2,南港站出口2
235,312142.4636,2772617.884,1,南港軟體園區站出口1
236,312192.482,2772589.399,2,南港軟體園區站出口2
237,301259.6995,2764803.004,1,南勢角站出口1
238,301326.5,2764769.275,2,南勢角站出口2
239,301378.7976,2764743.459,3,南勢角站出口3
240,301453.4634,2764705.05,4,南勢角站出口4
241,308669.076,2770825.81,1,後山埤站出口1
242,308714.2661,2770746.373,2,後山埤站出口2
243,308857.1145,2770916.326,3,後山埤站出口3
244,308772.5617,2770962.647,4,後山埤站出口4
245,304861.9202,2768789.715,0,科技大樓站出口
246,296286.2046,2782920.071,1,紅樹林站出口1
247,296224.1986,2782903.455,2,紅樹林站出口2
248,298380.0981,2774754.35,1,徐匯中學站出口1
249,298471.2186,2774771.141,2,徐匯中學站出口2
250,295289.063,2764231.69,1,海山站出口1
251,295323.5165,2764226.694,2,海山站出口2
252,295340.4925,2764311.06,3,海山站出口3
253,291550.6255,2768312.295,1,迴龍站出口1
254,291459.9203,2768146.99,2,迴龍站出口2
255,291707.4922,2768324.026,3,迴龍站出口3
256,308545.5515,2765713.427,1,動物園站出口1
257,308484.4758,2765683.947,2,動物園站出口2
258,301127.5829,2779241.874,1,唭哩岸站出口1
259,301021.9898,2779248.46,2,唭哩岸站出口2
260,306173.2056,2770529.213,1,國父紀念館站出口1
261,306170.563,2770416.357,2,國父紀念館站出口2
262,306292.098,2770450.648,3,國父紀念館站出口3
263,306381.8346,2770448.995,4,國父紀念館站出口4
264,306292.4094,2770491.011,5,國父紀念館站出口5
265,294898.3785,2784502.152,1,淡水站出口1
266,294946.6534,2784437.165,2,淡水站出口2
267,302045.3253,2767303.569,1,頂溪站出口1
268,301986.9012,2767447.333,2,頂溪站出口2
269,302775.7456,2770876.775,1,善導寺站出口1
270,302764.2249,2770834.8,2,善導寺站出口2
271,302814.7818,2770814.546,3,善導寺站出口3
272,302894.2632,2770757.415,4,善導寺站出口4
273,302958.8851,2770784.331,5,善導寺站出口5
274,302966.5864,2770825.963,6,善導寺站出口6
275,298929.2471,2781121.065,1,復興崗站出口1
276,298923.2036,2781071.829,2,復興崗站出口2
277,300923.9166,2765166.885,0,景安站出口
278,304619.3096,2765013.12,1,景美站出口1
279,304680.2224,2765131.624,2,景美站出口2
280,304569.9234,2765101.217,3,景美站出口3
281,308101.2661,2774780.861,1,港墘站出口1
282,307968.7795,2774769.259,2,港墘站出口2
283,299502.3796,2772461.005,1,菜寮站出口1
284,299548.9823,2772433.453,2,菜寮站出口2
285,299590.9411,2772526.87,3,菜寮站出口3
286,307460.1938,2769568.923,1,象山站出口1
287,307515.7003,2769472.03,2,象山站出口2
288,307581.7232,2769565.996,3,象山站出口3
289,302461.745,2773707.837,1,圓山站出口1
290,302464.9886,2773808.887,2,圓山站出口2
291,300774.4653,2781042.814,0,新北投站出口
292,304636.2161,2762273.962,1,新店市公所站出口1
293,304688.023,2762349.345,2,新店市公所站出口2
294,304316.1933,2761243.132,0,新店站出口
295,297176.8781,2768412.57,1,新埔站出口1
296,297249.7651,2768317.306,2,新埔站出口2
297,297289.6092,2768388.71,3,新埔站出口3
298,297285.9134,2768450.407,4,新埔站出口4
299,297236.0416,2768542.135,5,新埔站出口5
300,295633.5627,2769917.872,1,新莊站出口1
301,295653.8623,2769821.987,2,新莊站出口2
302,307378.8063,2765739.605,0,萬芳社區站出口
303,306286.1669,2765830.062,0,萬芳醫院站出口
304,304398.1913,2766039.202,1,萬隆站出口1
305,304488.3627,2766044.381,2,萬隆站出口2
306,304436.9825,2766137.357,3,萬隆站出口3
307,304343.942,2766191.062,4,萬隆站出口4
308,311352.2802,2773943.821,1,葫洲站出口1
309,311273.1296,2773942.913,2,葫洲站出口2
310,302300.5346,2771220.071,M1,臺北車站出口M1
311,302373.5961,2771208.639,M2,臺北車站出口M2
312,302256.2336,2771019.264,M3,臺北車站出口M3
313,302196.8681,2771041.23,M4,臺北車站出口M4
314,302061.1207,2771061.503,M5,臺北車站出口M5
315,302135.2405,2770962.923,M6,臺北車站出口M6
316,302337.7989,2770983.204,M7,臺北車站出口M7
317,302214.2751,2770939.685,M8,臺北車站出口M8
318,293941.5957,2769512.175,1,輔大站出口1
319,293933.4798,2769405.665,2,輔大站出口2
320,294067.9933,2769431.95,3,輔大站出口3
321,294032.8862,2769553.591,4,輔大站出口4
322,306022.9931,2775360.968,1,劍南路站出口1
323,305999.4544,2775262.058,2,劍南路站出口2
324,306094.2678,2775229.899,3,劍南路站出口3
325,302994.6872,2775315.082,1,劍潭站出口1
326,302915.0904,2775099.87,2,劍潭站出口2
327,309528.5075,2763593.323,0,貓纜指南宮站出口
328,309543.9083,2763595.601,0,貓纜指南宮站出口
329,309271.7787,2764813.716,0,貓纜動物園內站出口
330,308171.9537,2765459.803,0,貓纜動物園站出口
331,308184.6509,2765476.778,0,貓纜動物園站出口
332,309394.8855,2762400.791,0,貓纜貓空站出口
333,296480.548,2770248.085,1,頭前庄站出口1
334,296512.2888,2770163.458,2,頭前庄站出口2
335,296630.5707,2770242.572,3,頭前庄站出口3
336,296625.4873,2770350.082,4,頭前庄站出口4
337,300392.3847,2769816.353,1,龍山寺站出口1
338,300468.0569,2769744.261,2,龍山寺站出口2
339,300629.8193,2769816.023,3,龍山寺站出口3
340,302522.1059,2772248.724,1,雙連站出口1
341,302523.3075,2772277.762,2,雙連站出口2
342,297131.3329,2779760.175,1,關渡站出口1
343,297065.6028,2779764.187,2,關渡站出口2
344,296869.8892,2775968.656,1,蘆洲站出口1
345,296885.3741,2776021.241,2,蘆洲站出口2
346,296842.0334,2776033.616,3,蘆洲站出口3
347,306437.0355,2767923.547,0,麟光站出口
348,306384.3771,2767968.339,0,麟光站出口
